15.195246% e = 20, h_n = 15, thres = 0.900000, l_r = 0.250000
12.988115% e = 20, h_n = 15, thres = 0.900000, l_r = 0.300000
90.492360% e = 20, h_n = 23, thres = 0.100000, l_r = 0.050000
92.020374% e = 20, h_n = 23, thres = 0.100000, l_r = 0.100000
91.001698% e = 20, h_n = 23, thres = 0.100000, l_r = 0.150000
91.426146% e = 20, h_n = 23, thres = 0.100000, l_r = 0.200000
91.426146% e = 20, h_n = 23, thres = 0.100000, l_r = 0.250000
89.473684% e = 20, h_n = 23, thres = 0.100000, l_r = 0.300000
15.025467% e = 20, h_n = 23, thres = 0.500000, l_r = 0.050000
11.205433% e = 20, h_n = 23, thres = 0.500000, l_r = 0.100000
14.346350% e = 20, h_n = 23, thres = 0.500000, l_r = 0.150000
14.516129% e = 20, h_n = 23, thres = 0.500000, l_r = 0.200000
15.025467% e = 20, h_n = 23, thres = 0.500000, l_r = 0.250000
15.195246% e = 20, h_n = 23, thres = 0.500000, l_r = 0.300000
16.808149% e = 20, h_n = 23, thres = 0.900000, l_r = 0.050000
14.855688% e = 20, h_n = 23, thres = 0.900000, l_r = 0.100000
13.667233% e = 20, h_n = 23, thres = 0.900000, l_r = 0.150000
13.667233% e = 20, h_n = 23, thres = 0.900000, l_r = 0.200000
20.033956% e = 20, h_n = 23, thres = 0.900000, l_r = 0.250000
12.988115% e = 20, h_n = 23, thres = 0.900000, l_r = 0.300000
90.831919% e = 30, h_n = 7, thres = 0.100000, l_r = 0.050000
91.171477% e = 30, h_n = 7, thres = 0.100000, l_r = 0.100000
89.388795% e = 30, h_n = 7, thres = 0.100000, l_r = 0.150000
85.059423% e = 30, h_n = 7, thres = 0.100000, l_r = 0.200000
91.935484% e = 30, h_n = 7, thres = 0.100000, l_r = 0.250000
87.436333% e = 30, h_n = 7, thres = 0.100000, l_r = 0.300000
91.850594% e = 30, h_n = 7, thres = 0.500000, l_r = 0.050000
91.001698% e = 30, h_n = 7, thres = 0.500000, l_r = 0.100000
92.359932% e = 30, h_n = 7, thres = 0.500000, l_r = 0.150000
91.256367% e = 30, h_n = 7, thres = 0.500000, l_r = 0.200000
85.398981% e = 30, h_n = 7, thres = 0.500000, l_r = 0.250000
92.190153% e = 30, h_n = 7, thres = 0.500000, l_r = 0.300000
15.195246% e = 30, h_n = 7, thres = 0.900000, l_r = 0.050000
15.195246% e = 30, h_n = 7, thres = 0.900000, l_r = 0.100000
15.025467% e = 30, h_n = 7, thres = 0.900000, l_r = 0.150000
14.346350% e = 30, h_n = 7, thres = 0.900000, l_r = 0.200000
18.760611% e = 30, h_n = 7, thres = 0.900000, l_r = 0.250000
15.110357% e = 30, h_n = 7, thres = 0.900000, l_r = 0.300000
90.831919% e = 30, h_n = 15, thres = 0.100000, l_r = 0.050000
91.595925% e = 30, h_n = 15, thres = 0.100000, l_r = 0.100000
91.171477% e = 30, h_n = 15, thres = 0.100000, l_r = 0.150000
86.162988% e = 30, h_n = 15, thres = 0.100000, l_r = 0.200000
91.256367% e = 30, h_n = 15, thres = 0.100000, l_r = 0.250000
86.332767% e = 30, h_n = 15, thres = 0.100000, l_r = 0.300000
91.935484% e = 30, h_n = 15, thres = 0.500000, l_r = 0.050000
90.492360% e = 30, h_n = 15, thres = 0.500000, l_r = 0.100000
88.539898% e = 30, h_n = 15, thres = 0.500000, l_r = 0.150000
89.983022% e = 30, h_n = 15, thres = 0.500000, l_r = 0.200000
90.152801% e = 30, h_n = 15, thres = 0.500000, l_r = 0.250000
89.049236% e = 30, h_n = 15, thres = 0.500000, l_r = 0.300000
16.298812% e = 30, h_n = 15, thres = 0.900000, l_r = 0.050000
13.667233% e = 30, h_n = 15, thres = 0.900000, l_r = 0.100000
12.988115% e = 30, h_n = 15, thres = 0.900000, l_r = 0.150000
17.657046% e = 30, h_n = 15, thres = 0.900000, l_r = 0.200000
15.280136% e = 30, h_n = 15, thres = 0.900000, l_r = 0.250000
14.516129% e = 30, h_n = 15, thres = 0.900000, l_r = 0.300000
92.699491% e = 30, h_n = 23, thres = 0.100000, l_r = 0.050000
87.436333% e = 30, h_n = 23, thres = 0.100000, l_r = 0.100000
87.606112% e = 30, h_n = 23, thres = 0.100000, l_r = 0.150000
91.341256% e = 30, h_n = 23, thres = 0.100000, l_r = 0.200000
83.955857% e = 30, h_n = 23, thres = 0.100000, l_r = 0.250000
84.719864% e = 30, h_n = 23, thres = 0.100000, l_r = 0.300000
14.940577% e = 30, h_n = 23, thres = 0.500000, l_r = 0.050000
14.346350% e = 30, h_n = 23, thres = 0.500000, l_r = 0.100000
74.957555% e = 30, h_n = 23, thres = 0.500000, l_r = 0.150000
14.346350% e = 30, h_n = 23, thres = 0.500000, l_r = 0.200000
88.115450% e = 30, h_n = 23, thres = 0.500000, l_r = 0.250000
74.023769% e = 30, h_n = 23, thres = 0.500000, l_r = 0.300000
14.261460% e = 30, h_n = 23, thres = 0.900000, l_r = 0.050000
12.224109% e = 30, h_n = 23, thres = 0.900000, l_r = 0.100000
14.261460% e = 30, h_n = 23, thres = 0.900000, l_r = 0.150000
15.195246% e = 30, h_n = 23, thres = 0.900000, l_r = 0.200000
15.025467% e = 30, h_n = 23, thres = 0.900000, l_r = 0.250000
16.893039% e = 30, h_n = 23, thres = 0.900000, l_r = 0.300000
91.341256% e = 40, h_n = 7, thres = 0.100000, l_r = 0.050000
90.407470% e = 40, h_n = 7, thres = 0.100000, l_r = 0.100000
89.558574% e = 40, h_n = 7, thres = 0.100000, l_r = 0.150000
92.105263% e = 40, h_n = 7, thres = 0.100000, l_r = 0.200000
90.831919% e = 40, h_n = 7, thres = 0.100000, l_r = 0.250000
89.219015% e = 40, h_n = 7, thres = 0.100000, l_r = 0.300000
92.190153% e = 40, h_n = 7, thres = 0.500000, l_r = 0.050000
91.001698% e = 40, h_n = 7, thres = 0.500000, l_r = 0.100000
92.359932% e = 40, h_n = 7, thres = 0.500000, l_r = 0.150000
91.256367% e = 40, h_n = 7, thres = 0.500000, l_r = 0.200000
91.595925% e = 40, h_n = 7, thres = 0.500000, l_r = 0.250000
87.266553% e = 40, h_n = 7, thres = 0.500000, l_r = 0.300000
12.988115% e = 40, h_n = 7, thres = 0.900000, l_r = 0.050000
13.837012% e = 40, h_n = 7, thres = 0.900000, l_r = 0.100000
14.940577% e = 40, h_n = 7, thres = 0.900000, l_r = 0.150000
